Transaction_ID,Account_ID,Date,Transaction_Type,Amount,Transaction_Fee
100067,5223,1/3/2022 19:00,Withdrawal,7462.34,147.95
100068,5002,1/3/2022 20:00,Transfer,35973.28,433.37
100069,5371,1/3/2022 21:00,Deposit,22145.44,195.9
100070,6469,1/3/2022 22:00,Payment,20475.66,376.11
100071,5610,1/3/2022 23:00,Deposit,7279.85,90.02
100072,5115,1/4/2022 0:00,Withdrawal,25585.12,357.88
100073,6293,1/4/2022 1:00,Deposit,6763.99,43.53
100074,5446,1/4/2022 2:00,Payment,24092.71,258.85
100075,6391,1/4/2022 3:00,Withdrawal,38298.96,733.94
100076,6276,1/4/2022 4:00,Withdrawal,13284.09,183.89
100077,6340,1/4/2022 5:00,Payment,24298.92,247.06
100078,5414,1/4/2022 6:00,Payment,49604.79,713.57
100079,6118,1/4/2022 7:00,Payment,34489.2,643.44
100080,5891,1/4/2022 8:00,Deposit,42147.16,383.95
100081,6047,1/4/2022 9:00,Transfer,21034.96,264.55
100082,5662,1/4/2022 10:00,Deposit,38509.12,746.32
100083,6073,1/4/2022 11:00,Deposit,2505.2,19
100084,5717,1/4/2022 12:00,Transfer,6584.1,104
100085,6358,1/4/2022 13:00,Payment,10551.99,150.02
100086,6102,1/4/2022 14:00,Payment,20396.62,309.93
100087,6050,1/4/2022 15:00,Transfer,42364.37,435.01
100088,5270,1/4/2022 16:00,Transfer,17640.17,171.25
100089,5561,1/4/2022 17:00,Deposit,32903.75,502.21
100090,5803,1/4/2022 18:00,Withdrawal,35611.06,293.19
100091,5246,1/4/2022 19:00,Transfer,29516.03,333.38
100092,5386,1/4/2022 20:00,Deposit,18183.48,142.24
100093,5701,1/4/2022 21:00,Withdrawal,29064.14,148.94
100094,5558,1/4/2022 22:00,Payment,17442.15,341.01
100095,5972,1/4/2022 23:00,Payment,4651.75,53.38
100096,6384,1/5/2022 0:00,Deposit,49643.8,970.05
100097,5983,1/5/2022 1:00,Deposit,6795.53,48.28
100098,5351,1/5/2022 2:00,Transfer,4081.24,56.36
100099,6279,1/5/2022 3:00,Payment,43987.27,352.54
100100,6245,1/5/2022 4:00,Deposit,15440.82,260.19
100101,5752,1/5/2022 5:00,Payment,32689.7,547.73
100102,5780,1/5/2022 6:00,Payment,16785.78,112.28
100103,6024,1/5/2022 7:00,Transfer,19876.99,371.32
100104,5545,1/5/2022 8:00,Withdrawal,13474.59,106.71
100105,6469,1/5/2022 9:00,Transfer,17480.68,248.13
100106,5078,1/5/2022 10:00,Deposit,20829.67,412.1
100107,6259,1/5/2022 11:00,Transfer,36160.6,659.42
100108,5333,1/5/2022 12:00,Transfer,25821.04,499.6
100109,5888,1/5/2022 13:00,Payment,47206.48,478.63
100110,6372,1/5/2022 14:00,Transfer,2573.08,16.94
100111,6121,1/5/2022 15:00,Deposit,25401.88,198.77
100112,6105,1/5/2022 16:00,Withdrawal,29419.13,367.96
100113,5501,1/5/2022 17:00,Transfer,46049.75,778.17
100114,5764,1/5/2022 18:00,Transfer,2933.35,21.27
100115,5920,1/5/2022 19:00,Withdrawal,28888.23,430.32
100116,5549,1/5/2022 20:00,Deposit,42754.68,421.29
100117,5013,1/5/2022 21:00,Deposit,12475.42,126.23
100118,5391,1/5/2022 22:00,Transfer,43876.47,655.02
100119,6370,1/5/2022 23:00,Payment,1442.65,17.32
100120,5309,1/6/2022 0:00,Transfer,36756.5,631.5
100121,5385,1/6/2022 1:00,Withdrawal,46689.1,342.64
100122,6232,1/6/2022 2:00,Withdrawal,33031.28,556.55
100123,6380,1/6/2022 3:00,Withdrawal,22231.95,132.58
100124,5973,1/6/2022 4:00,Transfer,2721.61,21.53
100125,6117,1/6/2022 5:00,Transfer,46045.63,683.42
100126,6116,1/6/2022 6:00,Deposit,23779.66,423.85
100127,5339,1/6/2022 7:00,Payment,1935.34,17.01
100128,5596,1/6/2022 8:00,Transfer,34646.14,343.27
100129,6468,1/6/2022 9:00,Deposit,24350.94,317.95
100130,5756,1/6/2022 10:00,Transfer,6655.09,54.4
100131,6045,1/6/2022 11:00,Deposit,11106.45,190.67
100132,5290,1/6/2022 12:00,Deposit,3692.29,61.31
100133,5305,1/6/2022 13:00,Payment,28927.53,207.68
100134,5633,1/6/2022 14:00,Transfer,31290.46,374.15
100135,6151,1/6/2022 15:00,Deposit,25534.24,424.44
100136,5624,1/6/2022 16:00,Withdrawal,40946.56,411.92
100137,5938,1/6/2022 17:00,Withdrawal,43119.94,625.09
100138,6296,1/6/2022 18:00,Withdrawal,30973.41,178.2
100139,5847,1/6/2022 19:00,Payment,1131.45,15.99
100140,5441,1/6/2022 20:00,Deposit,34913.87,254.51
100141,5502,1/6/2022 21:00,Payment,21190.96,369.97
100142,5129,1/6/2022 22:00,Transfer,28495.1,294.4
100143,6155,1/6/2022 23:00,Transfer,32629.49,300.95
100144,5596,1/7/2022 0:00,Deposit,17836.71,314.16
100145,5861,1/7/2022 1:00,Withdrawal,45896.38,264
100146,6413,1/7/2022 2:00,Deposit,7131.76,78.09
100147,5592,1/7/2022 3:00,Deposit,33739.83,355.96
100148,5998,1/7/2022 4:00,Deposit,715.8,6.64
100149,5324,1/7/2022 5:00,Payment,46270.23,864.16
100150,6092,1/7/2022 6:00,Transfer,6068.95,98.7
100151,5447,1/7/2022 7:00,Deposit,5196.77,30.97
100152,5818,1/7/2022 8:00,Deposit,16983.88,266.99
100153,6188,1/7/2022 9:00,Deposit,18991.53,245.17
100154,5708,1/7/2022 10:00,Payment,11107.85,205.64
100155,6449,1/7/2022 11:00,Payment,29463.52,285.62
100156,5264,1/7/2022 12:00,Payment,22424.25,305.25
100157,5611,1/7/2022 13:00,Deposit,2191.69,27.42
100158,6365,1/7/2022 14:00,Withdrawal,16322.78,201.48
100159,5831,1/7/2022 15:00,Withdrawal,40616.43,480.96
100160,6301,1/7/2022 16:00,Withdrawal,34640.23,280.05
100161,5673,1/7/2022 17:00,Transfer,36381.11,594.31
100162,6462,1/7/2022 18:00,Deposit,35056.79,412.62
100163,5156,1/7/2022 19:00,Withdrawal,15893.16,307.97
100164,6445,1/7/2022 20:00,Withdrawal,5433.36,48.42
100165,5250,1/7/2022 21:00,Withdrawal,13987.13,213.18
100166,5877,1/7/2022 22:00,Deposit,41673.37,796.41
100167,5529,1/7/2022 23:00,Withdrawal,49033.3,733.14
100168,5326,1/8/2022 0:00,Withdrawal,24945.43,450.74
100169,5960,1/8/2022 1:00,Deposit,980.17,17.07
100170,5894,1/8/2022 2:00,Transfer,7432.22,77.31
100171,5096,1/8/2022 3:00,Payment,16442.99,230.23
100172,5512,1/8/2022 4:00,Withdrawal,29139.97,214
100173,5215,1/8/2022 5:00,Payment,4217.14,54.96
100174,6155,1/8/2022 6:00,Transfer,47196.19,399.11
100175,6283,1/8/2022 7:00,Transfer,18571.64,300.04
100176,5124,1/8/2022 8:00,Withdrawal,45672.92,590.13
100177,6105,1/8/2022 9:00,Deposit,39135.83,437.09
100178,6306,1/8/2022 10:00,Transfer,37894.14,342.26
100179,5058,1/8/2022 11:00,Payment,30532.62,610.06
100180,5160,1/8/2022 12:00,Payment,31525.8,191.54
100181,5283,1/8/2022 13:00,Payment,32081.16,181.37
100182,5105,1/8/2022 14:00,Payment,31621.71,261.16
100183,6128,1/8/2022 15:00,Transfer,27909.55,546.08
100184,6462,1/8/2022 16:00,Withdrawal,49327.49,971.19
100185,5227,1/8/2022 17:00,Withdrawal,36748.38,544.75
100186,5317,1/8/2022 18:00,Payment,38958.85,709.11
100187,6487,1/8/2022 19:00,Withdrawal,43686.91,358.64
100188,5801,1/8/2022 20:00,Payment,11174.17,218.8
100189,5873,1/8/2022 21:00,Payment,4648.31,33.2
100190,5471,1/8/2022 22:00,Deposit,24403.27,159.03
100191,6079,1/8/2022 23:00,Transfer,25946.99,173.41
100192,5624,1/9/2022 0:00,Transfer,41544.5,564.88
100193,5012,1/9/2022 1:00,Payment,22467.29,375.53
100194,6463,1/9/2022 2:00,Transfer,28757.22,301.95
100195,6041,1/9/2022 3:00,Withdrawal,26590.01,522.98
100196,5693,1/9/2022 4:00,Payment,2391.04,27.54
100197,5972,1/9/2022 5:00,Deposit,30953.14,224.62
100198,5112,1/9/2022 6:00,Withdrawal,41488.14,497.42
100199,5228,1/9/2022 7:00,Deposit,8296.28,125.98
100200,5170,1/9/2022 8:00,Deposit,29919.42,523.09
100201,5294,1/9/2022 9:00,Transfer,29883.72,355.06
100202,5188,1/9/2022 10:00,Transfer,8627.16,119.95
100203,5425,1/9/2022 11:00,Payment,6611.45,59.57
100204,5976,1/9/2022 12:00,Transfer,49012.57,719.93
100205,6102,1/9/2022 13:00,Deposit,19989.1,395.58
100206,5657,1/9/2022 14:00,Deposit,11757.38,67.44
100207,5918,1/9/2022 15:00,Withdrawal,8980.56,164.33
100208,6205,1/9/2022 16:00,Deposit,33546.28,450.67
100209,5498,1/9/2022 17:00,Payment,30667.54,269.31
100210,5761,1/9/2022 18:00,Payment,32355.83,625.22
100211,5865,1/9/2022 19:00,Transfer,4856.3,59.49
100212,5825,1/9/2022 20:00,Transfer,44729.96,446.2
100213,5070,1/9/2022 21:00,Transfer,19768.69,152.66
100214,5247,1/9/2022 22:00,Payment,16011.79,138.77
100215,5145,1/9/2022 23:00,Deposit,23386.89,409.1
100216,6319,1/10/2022 0:00,Transfer,19808.27,281.6
100217,5581,1/10/2022 1:00,Withdrawal,43247.06,808.66
100218,5469,1/10/2022 2:00,Transfer,46498.42,394.28
100219,5192,1/10/2022 3:00,Payment,15520.93,105.81
100220,6091,1/10/2022 4:00,Transfer,43264.82,220.27
100221,5493,1/10/2022 5:00,Deposit,39185.39,494.44
100222,5051,1/10/2022 6:00,Transfer,46574.98,930.32
100223,5881,1/10/2022 7:00,Payment,12664.64,195.35
100224,5362,1/10/2022 8:00,Payment,29059.48,279.72
100225,5916,1/10/2022 9:00,Withdrawal,14089.96,255.77
100226,5473,1/10/2022 10:00,Payment,41292.68,690.65
100227,5520,1/10/2022 11:00,Withdrawal,763.55,3.99
100228,6454,1/10/2022 12:00,Deposit,28458.55,490.99
100229,6321,1/10/2022 13:00,Payment,17290.57,164.4
100230,6458,1/10/2022 14:00,Transfer,16472.84,119.35
100231,5690,1/10/2022 15:00,Deposit,32422.86,272.19
100232,6221,1/10/2022 16:00,Transfer,42648.48,513.01
100233,6151,1/10/2022 17:00,Transfer,30655.17,348.64
100234,5531,1/10/2022 18:00,Transfer,42732.06,398.83
100235,6434,1/10/2022 19:00,Deposit,13597.56,103.11
100236,5839,1/10/2022 20:00,Deposit,26215.34,430.81
100237,6088,1/10/2022 21:00,Payment,22801.56,452.65
100238,5240,1/10/2022 22:00,Transfer,1076.42,17.94
100239,6392,1/10/2022 23:00,Withdrawal,28062.2,264.88
100240,5535,1/11/2022 0:00,Payment,33245.45,288.31
100241,6407,1/11/2022 1:00,Deposit,29799.76,246.29
100242,6454,1/11/2022 2:00,Withdrawal,36945.85,260.48
100243,5082,1/11/2022 3:00,Deposit,28781.31,381.93
100244,5981,1/11/2022 4:00,Withdrawal,3804.14,53.57
100245,5950,1/11/2022 5:00,Payment,6264.05,97.61
100246,5610,1/11/2022 6:00,Withdrawal,30025.49,456.48
100247,5573,1/11/2022 7:00,Payment,14111.47,132.44
100248,5285,1/11/2022 8:00,Deposit,4442.43,44.22
100249,5988,1/11/2022 9:00,Withdrawal,21765.34,331.33
100250,5458,1/11/2022 10:00,Transfer,27938.97,286.14
100251,6235,1/11/2022 11:00,Transfer,16772.93,137.36
100252,5125,1/11/2022 12:00,Deposit,36161.47,383.86
100253,6436,1/11/2022 13:00,Withdrawal,32366.65,293.93
100254,5424,1/11/2022 14:00,Transfer,16974.51,107.36
100255,5553,1/11/2022 15:00,Payment,37866.19,660.84
100256,5609,1/11/2022 16:00,Withdrawal,32610.4,580.36
100257,6181,1/11/2022 17:00,Withdrawal,32053.55,265.92
100258,5111,1/11/2022 18:00,Transfer,27894.67,166.58
100259,5401,1/11/2022 19:00,Payment,1063.79,17.11
100260,5121,1/11/2022 20:00,Payment,34977.11,285.87
100261,5272,1/11/2022 21:00,Payment,19114.07,208.37
100262,6317,1/11/2022 22:00,Withdrawal,47159.18,281.16
100263,5397,1/11/2022 23:00,Deposit,40990.25,344.07
100264,5470,1/12/2022 0:00,Withdrawal,29590.88,499.89
100265,5984,1/12/2022 1:00,Withdrawal,12983.01,221.57
100266,6230,1/12/2022 2:00,Transfer,10584.01,85.8
100267,6133,1/12/2022 3:00,Deposit,17349.05,174.16
100268,6463,1/12/2022 4:00,Payment,24090.11,168.96
100269,6301,1/12/2022 5:00,Transfer,15155.24,92.64
100270,5568,1/12/2022 6:00,Withdrawal,25989.01,516.73
100271,6137,1/12/2022 7:00,Deposit,8685.84,128.84
100272,5896,1/12/2022 8:00,Payment,48896.78,642.09
100273,5819,1/12/2022 9:00,Payment,5842.27,96.3
100274,5852,1/12/2022 10:00,Withdrawal,46631.23,820.76
100275,5709,1/12/2022 11:00,Payment,45722.11,781.88
100276,5320,1/12/2022 12:00,Payment,26505.34,139.1
100277,5178,1/12/2022 13:00,Deposit,36383.06,283.86
100278,5896,1/12/2022 14:00,Transfer,22084.39,327.37
100279,5218,1/12/2022 15:00,Deposit,31686.71,337.03
100280,5788,1/12/2022 16:00,Transfer,17358.51,342.61
100281,5491,1/12/2022 17:00,Transfer,15407.37,230.82
100282,5060,1/12/2022 18:00,Transfer,29122.37,563.47
100283,6077,1/12/2022 19:00,Payment,25157.42,201.81
100284,5537,1/12/2022 20:00,Deposit,29187.05,524.18
100285,5847,1/12/2022 21:00,Payment,14689.7,144.26
100286,5987,1/12/2022 22:00,Withdrawal,18664.41,370.37
100287,5064,1/12/2022 23:00,Deposit,4652.95,34.27
100288,5585,1/13/2022 0:00,Transfer,3087.68,39.35
100289,5170,1/13/2022 1:00,Payment,13046.13,220.38
100290,6296,1/13/2022 2:00,Payment,4175.22,47.97
100291,5534,1/13/2022 3:00,Deposit,5636.85,67.76
100292,6414,1/13/2022 4:00,Deposit,40739.96,806.46
100293,5692,1/13/2022 5:00,Transfer,2424.25,27.59
100294,6350,1/13/2022 6:00,Transfer,33117.67,465.67
100295,5107,1/13/2022 7:00,Withdrawal,13991.61,81.4
100296,6185,1/13/2022 8:00,Transfer,43641.51,769.54
100297,5813,1/13/2022 9:00,Payment,24507.12,360.81
100298,6004,1/13/2022 10:00,Withdrawal,15626.03,172.83
100299,5451,1/13/2022 11:00,Withdrawal,26123.13,136.95
100300,6229,1/13/2022 12:00,Withdrawal,19406.92,269.27
100301,5589,1/13/2022 13:00,Deposit,28432.9,147.56
100302,6039,1/13/2022 14:00,Transfer,6169.38,30.96
100303,5326,1/13/2022 15:00,Withdrawal,49851.03,709.95
100304,5607,1/13/2022 16:00,Deposit,21565.02,168.97
100305,5658,1/13/2022 17:00,Deposit,17737.42,139.74
100306,5001,1/13/2022 18:00,Withdrawal,35655.39,527.67
100307,6033,1/13/2022 19:00,Withdrawal,18513.02,107.48
100308,5433,1/13/2022 20:00,Payment,41747.08,404.99
100309,5124,1/13/2022 21:00,Withdrawal,22986.4,166.46
100310,6104,1/13/2022 22:00,Payment,36118.14,494.91
100311,5484,1/13/2022 23:00,Withdrawal,5818.93,86.86
100312,5651,1/14/2022 0:00,Withdrawal,42382.9,670.37
100313,6173,1/14/2022 1:00,Transfer,36918.04,325.93
100314,5799,1/14/2022 2:00,Withdrawal,10979.98,69.6
100315,5872,1/14/2022 3:00,Withdrawal,7691.66,47.54
100316,6363,1/14/2022 4:00,Payment,16156.47,184.06
100317,5128,1/14/2022 5:00,Payment,48815.49,936.66
100318,5437,1/14/2022 6:00,Transfer,13213.16,109.22
100319,5750,1/14/2022 7:00,Withdrawal,23078.3,204.27
100320,5500,1/14/2022 8:00,Withdrawal,1986,12.94
100321,6081,1/14/2022 9:00,Payment,20162.76,283.96
100322,6221,1/14/2022 10:00,Deposit,28780.34,437.41
100323,5210,1/14/2022 11:00,Deposit,47679.67,698.22
100324,5901,1/14/2022 12:00,Deposit,26078.43,467.25
100325,5044,1/14/2022 13:00,Payment,41045.81,504.72
100326,6120,1/14/2022 14:00,Payment,27582.82,193.54
100327,6302,1/14/2022 15:00,Deposit,2518.86,23.53
100328,5534,1/14/2022 16:00,Deposit,16092.91,240.37
100329,6433,1/14/2022 17:00,Withdrawal,28989.7,411.56
100330,5460,1/14/2022 18:00,Payment,47554.4,616.55
100331,5390,1/14/2022 19:00,Payment,43026.95,655.92
100332,6067,1/14/2022 20:00,Deposit,11803.6,171.87
100333,5026,1/14/2022 21:00,Deposit,11395.44,207.62
100334,5793,1/14/2022 22:00,Transfer,10458.06,144.22
100335,6120,1/14/2022 23:00,Payment,46163.7,769.97
100336,5974,1/15/2022 0:00,Transfer,42706.97,372.86
100337,5547,1/15/2022 1:00,Withdrawal,38856.73,589.56
100338,5620,1/15/2022 2:00,Transfer,19940.39,369.55
100339,5566,1/15/2022 3:00,Deposit,25466.84,274.68
100340,5703,1/15/2022 4:00,Payment,23484.42,391.87
100341,6242,1/15/2022 5:00,Payment,13043.21,207.02
100342,5184,1/15/2022 6:00,Transfer,25498.89,150.26
100343,6092,1/15/2022 7:00,Transfer,2009.58,27.58
100344,6153,1/15/2022 8:00,Withdrawal,7024.61,48.84
100345,5847,1/15/2022 9:00,Withdrawal,44386.19,865.97
100346,5598,1/15/2022 10:00,Deposit,37708.15,647.49
100347,5805,1/15/2022 11:00,Deposit,21431.99,142.43
100348,6357,1/15/2022 12:00,Deposit,26098.94,178.16
100349,6177,1/15/2022 13:00,Transfer,18814.94,261.85
100350,5078,1/15/2022 14:00,Transfer,37168.6,378.13
100351,5578,1/15/2022 15:00,Payment,39317.27,217.17
100352,5412,1/15/2022 16:00,Deposit,38282.62,502.44
100353,5545,1/15/2022 17:00,Transfer,36269.28,392.35
100354,5168,1/15/2022 18:00,Payment,10622.96,69.22
100355,5680,1/15/2022 19:00,Deposit,17229.51,293.4
100356,5582,1/15/2022 20:00,Withdrawal,23757.35,444.88
100357,5514,1/15/2022 21:00,Withdrawal,16874.25,275.88
100358,6337,1/15/2022 22:00,Transfer,37869.54,656.52
100359,5031,1/15/2022 23:00,Payment,16803,138.58
100360,5286,1/16/2022 0:00,Withdrawal,7342.49,65.74
100361,5593,1/16/2022 1:00,Payment,20252.5,164.61
100362,6066,1/16/2022 2:00,Payment,49005.76,807.42
100363,5616,1/16/2022 3:00,Withdrawal,11681.13,224.5
100364,6024,1/16/2022 4:00,Payment,30801.85,485.21
100365,5269,1/16/2022 5:00,Withdrawal,21932.17,399.65
100366,6203,1/16/2022 6:00,Transfer,4015.72,58.55
100367,5517,1/16/2022 7:00,Deposit,24649.89,266.59
100368,6126,1/16/2022 8:00,Deposit,35257.13,401.45
100369,6033,1/16/2022 9:00,Transfer,25904.39,158.79
100370,5582,1/16/2022 10:00,Withdrawal,43669.25,238.95
100371,6113,1/16/2022 11:00,Withdrawal,14802.38,228.43
100372,5225,1/16/2022 12:00,Withdrawal,4769.33,55.21
100373,5669,1/16/2022 13:00,Withdrawal,46860,622.45
100374,5916,1/16/2022 14:00,Transfer,19220.72,256.88
100375,5125,1/16/2022 15:00,Deposit,29032.07,265.95
100376,5955,1/16/2022 16:00,Payment,39704.15,481.94
100377,6232,1/16/2022 17:00,Payment,16553.53,199.66
100378,6120,1/16/2022 18:00,Deposit,35950.14,389.21
100379,5073,1/16/2022 19:00,Transfer,7203.23,124.69
100380,6214,1/16/2022 20:00,Payment,14919.04,175.56
100381,5055,1/16/2022 21:00,Deposit,7663.18,107.7
100382,5719,1/16/2022 22:00,Transfer,40655.91,749.4
100383,5552,1/16/2022 23:00,Payment,11521.14,207.31
100384,5031,1/17/2022 0:00,Withdrawal,36011.48,661.04
100385,5573,1/17/2022 1:00,Withdrawal,47193.27,427.1
100386,5666,1/17/2022 2:00,Transfer,26624.72,147.09
100387,5283,1/17/2022 3:00,Withdrawal,27231.45,242.8
100388,5186,1/17/2022 4:00,Transfer,23321.16,214.1
100389,5497,1/17/2022 5:00,Deposit,16631.56,310.02
100390,6465,1/17/2022 6:00,Deposit,24044.92,354.39
100391,5129,1/17/2022 7:00,Payment,30338.97,188.88
100392,5638,1/17/2022 8:00,Transfer,49306.58,346.66
100393,6315,1/17/2022 9:00,Payment,46919.35,344.16
100394,5113,1/17/2022 10:00,Payment,43176.57,624.17
100395,6222,1/17/2022 11:00,Deposit,44511.96,713.58
100396,5012,1/17/2022 12:00,Payment,23658.53,423.36
100397,6294,1/17/2022 13:00,Withdrawal,33043.49,631.45
100398,6238,1/17/2022 14:00,Payment,44805.8,359.59
100399,5443,1/17/2022 15:00,Transfer,19951.06,192.46
100400,5446,1/17/2022 16:00,Withdrawal,48107.24,413.96
100401,5985,1/17/2022 17:00,Deposit,21081.41,218.86
100402,5992,1/17/2022 18:00,Transfer,30253.59,566.35
100403,5714,1/17/2022 19:00,Withdrawal,35635.33,485.59
100404,5073,1/17/2022 20:00,Transfer,47554.3,764.33
100405,5536,1/17/2022 21:00,Withdrawal,12608.51,155.74
100406,5100,1/17/2022 22:00,Transfer,37433.48,203.37
100407,5175,1/17/2022 23:00,Transfer,26280.37,156.71
100408,5426,1/18/2022 0:00,Withdrawal,13793.58,180.27
100409,6140,1/18/2022 1:00,Deposit,38942.04,614.58
100410,6189,1/18/2022 2:00,Deposit,27835,229.08
100411,5040,1/18/2022 3:00,Transfer,33218.2,525.8
100412,5428,1/18/2022 4:00,Transfer,16483.6,282.86
100413,5343,1/18/2022 5:00,Deposit,24323.06,271.89
100414,6447,1/18/2022 6:00,Deposit,31059.04,503.04
100415,5365,1/18/2022 7:00,Payment,20543.09,227.22
100416,6143,1/18/2022 8:00,Deposit,10319.44,156.6
100417,5608,1/18/2022 9:00,Transfer,48101.2,791.74
100418,5656,1/18/2022 10:00,Withdrawal,25817.64,513.23
100419,5727,1/18/2022 11:00,Deposit,36829.06,374.95
100420,5228,1/18/2022 12:00,Payment,20846.84,232.77
100421,5824,1/18/2022 13:00,Payment,18079.02,135.31
100422,6153,1/18/2022 14:00,Payment,20654.63,166.5
100423,6375,1/18/2022 15:00,Withdrawal,20755.23,319.65
100424,5888,1/18/2022 16:00,Deposit,27436.92,514.6
100425,6341,1/18/2022 17:00,Deposit,27401.76,299.2
100426,5983,1/18/2022 18:00,Deposit,25109.11,193.28
100427,5835,1/18/2022 19:00,Withdrawal,7171.9,66.53
100428,6360,1/18/2022 20:00,Withdrawal,25055.74,296.3
100429,6296,1/18/2022 21:00,Transfer,8870.64,83.03
100430,5116,1/18/2022 22:00,Payment,6743.72,57.35
100431,5817,1/18/2022 23:00,Payment,46665.96,748.51
100432,5367,1/19/2022 0:00,Deposit,30445.03,155.81
100433,6117,1/19/2022 1:00,Withdrawal,33144.76,433.81
100434,5167,1/19/2022 2:00,Withdrawal,20388.79,344.7
100435,5953,1/19/2022 3:00,Deposit,45494.55,409.15
100436,6364,1/19/2022 4:00,Deposit,32077.56,450.67
100437,5660,1/19/2022 5:00,Transfer,38573.91,579.9
100438,5694,1/19/2022 6:00,Payment,18743.84,277.88
100439,5924,1/19/2022 7:00,Payment,48020.59,561.25
100440,5151,1/19/2022 8:00,Payment,41112.83,419.3
100441,5585,1/19/2022 9:00,Transfer,42770.45,750.14
100442,5912,1/19/2022 10:00,Deposit,9023.62,147.78
100443,5273,1/19/2022 11:00,Deposit,13912.68,136.61
100444,5495,1/19/2022 12:00,Payment,14638.52,95.81
100445,5100,1/19/2022 13:00,Payment,13910.01,84.53
100446,5556,1/19/2022 14:00,Transfer,42842.7,274.8
